,organizer,session-title,text
site of longing and emancipation. Exploring Cold War after-effects, Hirakawa contrasts feminist and masculinist fan 
readings of Anne of Green Gables, analyzing women's aspirations for emancipation and masculinist articulations of 
 figting for Japan. 

 

Discussant Sherif engages our audience, asking: How did grand narratives of Cold War Japan incite nativist, feminist, and 
masculinist discourse? How did they construct competing notions of emancipation and citizenship? What Cold War 
cultural legacies influence Japanese discourse on gender today? 
"

48,Wei-ti Chen,The Japanese Empire and Its Non-National Actors ,"This panel joins the already rich discussion on relations among the colonized peoples of the Japanese empire (1868-1945) 
by focusing on episodes of conflict, cooperation and migration authored by subnational and transnational actors. Soldiers, 
civilians, professionals, teachers, youth, and indigenous peoples, who are the subjects of these four papers, forged 
ambivalent identities, paths of mobility, and sites of contested memories that outlived the empire. Because these episodes 
challenge the field's structuring meta-narratives of economic development, nation-building, and class-formation, they 
command our attention and their effects continue to reverberate in contemporary Asia.   

The panel considers how modern institutionsâ€”conscript military, universal education, professionalized medicine, and 
national mediaâ€”intensified and extensified contacts among collectivities newly incorporated into the Japanese empire. 
Barclay examines the disconnect between an imperial capitalist economy premised on movement and an imperial state 
that institutionalized autochthony as a site of modern identity. Chen examines the construction of ethnic hierarchy in 
medical society and how Taiwanese and Koreans used migration to advance their career opportunities to avoid facing 
discrimination as members of the local colonized population. Hu's research on Japanese teachers in Taiwan suggests that 
colonial education stimulated the emergence of a more inclusive imperial culture and networks. Lastly, by examining the 
actions of the members of the first unit of the Taiwanese Aborigine Volunteer Army who fought in the Philippines, 
Ziomek argues that the horrors of war obliterated typical colonial hierarchies and assumptions. Ethan Mark, a historian of 
Japanese-Asian colonial and wartime interactions, will be the chair and discussant. 
"

49,Laura Hein,Writing Japanese History for the Cambridge History of Japan ,"What challenges inherent to the genre itself emerge when producing a new edition of the Cambridge History of Japan? 
One construct we have retained is  premodern, early modern, and modern, even though doing so radically foreshortens 
the internally complex first millennium of Japanese history. 

Cambridge Histories assume the centrality of political history, but this concept already misrepresents the evolving nature 
of authority in Japanese history, especially premodern history. Although it is more relevant for early modern and modern 
history, the boundaries of  the political far exceed formal governmental processes in those eras, too. We put this problem 
of incommensurability front and center in Volume 1 and organize Volumes 2 and 3 in ways that highlight how political 
authority was shaped by other kinds of power. For example, we group warfare with economic and environmental change 
to emphasize two things: the conflicts were frequently over resources and their resolutions regularly transformed society 
in diverse ways. 

This Cambridge History, as is standard, is nation-centered, even though recent scholarship has emphasized both the ways 
that the boundaries of  Japan shifted over time and how porous and entangled those boundaries were even when 
geographically stable. The inhabitants of the Japanese archipelago also created distinctive regional cultures. We have 
asked each contributor to engage this problem, in order to convey the multiplicity of ways that Japanese history is only 
comprehensible within transnational, global, entangled, and translocal histories. 
"

50,Simon Kaner,The Art of Heritage: Transnational and Interdisciplinary Approaches ,"In their recent book, Matsuda and Mengoni questioned the applicability of the concept of â€˜cultural heritage' in East Asian 
contexts. From UNESCO World Heritage to local heritage initiatives (for example the Japan Heritage or â€˜Nihon isan' 
programme promoting cultural tourism in the lead-up to the Tokyo 2020 Olympics), however, the â€˜stuff' of heritage 
across Asia is being scrutinised on an unprecedented scale, with new generations of â€˜heritage practitioners' being trained 
up, while politicians and other activists in some countries are openly hostile towards traditional curators and approaches to 
managing the heritage (I am thinking here of David Atkinson's interventions in Japan). This panel addresses issues that 
lead to potential confrontations at disciplinary boundaries with much of what falls within the rubric of â€˜cultural heritage' 
cross-cutting traditional academic fields including history, art, art history, architectural history, conservation, and 
museology, adding into the mix cultural politics and soft diplomacy, the economics of tourism, environmental concerns 
and digital humanities. At the same time, the narratives involved in heritage are often necessarily transnational: the 
specific agendas of national state parties notwithstanding, the evaluation of World Heritage nominations depends on the 
demonstration of Outstanding Universal Value; and shared concerns with the preservation and interpretation of heritage 
assets at the local level can provide new frameworks for engagement, comparison and cooperation by diverse 
communities. Presentations in the panel will consider these concerns through a series of specific case studies. 
"

51,Hansun Hsiung,"Early Modern Science, State and Society: Toward the Forthcoming Cambridge ","Forty-one years have passed since Marius Jansen and John Whitney Hall began labor on  a multi-volume history series on 
Japan; approximately twenty-seven years since volumes four and five of the Cambridge History of Japan -- Early 
Modern Japan and The Nineteenth Century -- finally achieved publication. In their time, Hall and Jansen spoke of an 
authoritative Anglophone source that might generate  discussions of comparative history in terms of feudalism, 
modernization, development, [and] Westernization. Today, a new set of historiographical priorities shape scholarship: 
explorations of science and environment, of medicine and the body; entangled accounts of Japan within transnational 
vectors of ideas and artifacts; analyses of dynamic syncretism that provincialize the alleged shock of  Western 
encounter. 

Gathering together contributors to the second volume of the rebooted Cambridge History of Japan (forthcoming 2020), 
this roundtable opens a conversation on the future of early modern Japanese history, with a stress on intellectual history, 
the history of science, and the history of medicine. Each presenter offers a five-minute provocation outlining how their 
respective chapters will reinvigorate the study of Japan in relation to broader movements in academic research. Of 
particular interest will be communication with scholars outside the Japan field, thus breaking through nationally-
entrenched research traditions. Susan Burns problematizes the division between  elite versus  popular understandings 
of the body by tracing the emergence of a  vernacular medical knowledge at the intersection of the medical marketplace 
and commercial print. Yulia Frumer reconceptualizes Tokugawa science outside the  Chinese vs. Western binary 
through a focus on practices of depiction, measurement, and translation. Similarly, Hansun Hsiung decenters Europe in 
histories of Rangaku by highlighting Southeast and East Asian flows of texts and instruments. Federico Marcon, 
meanwhile, challenges us to symmetrically recuperate the word  philosophy to understand the discourse of professional 
jusha. Finally, Kiri Paramore combines new trends in global history, comparative political thought, and East Asian history 
to map the nexus of knowledge, governance, and publicness in Tokugawa society. Through this dialogue, we seek to 
create chapters that, in the tradition of the Cambridge History series, will become an indispensable resource for 
specialists, non-specialists, and students alike. 
"

52,Ranny Rastati,Islam and Japan Pop Culture ,"Japan popular culture has for decades attract the world especially in Southeast Asia countries such as Indonesia and 
Malaysia. As predominant Muslim countries, young generation in Indonesia and Malaysia spent their childhood with 
manga and anime pop culture without neglecting their religious values. Young Muslim sees Japanese popular culture as a 
fascinating phenomenon where Islamic practices are negotiated to make way for their passion for the culture. Islamic 
manga, hijab cosplay, Japan-themed Indonesian Islamic literature, and Halal food are some of the examples of conformity 
between community expressions of Islamic values and Japan popular culture.  It is proposed that the session will have its 
focus on the fusion phenomenon between Islamic values and Japan popular culture, drawing case studies from  Indonesia 
and Malaysia. 

Nasir investigates the production of Malaysian manga in terms of modes of Islamic representation, where Islam is viewed 
as part of Malaysian identity. 

Rastati examines the new phenomenon in Indonesia called hijab cosplay, where Hijab-wearing cosplayer cosplays without 
taking off the hijab. This becomes a marker of religious obedience while embracing Japanese popular culture. 

Pratama looks at the representation of Japan and Japanese in Islamic novel in Indonesia, on how the element of Japan is 
negotiated with Islamic identity. 

Masami examines the new food culture that comes from Middle Eastern countries or Islamic religious culture that is Halal 
Food and the concept of Omotenashi or a culture of Japanese hospitality between the seller and the buyer. 
"

53,Hiromi Miyagi-Lusthaus,Leaving Our â€˜Comfort Zone': Incorporating Social Justice in East Asian (Japanese) ,"Social justice has been long neglected in the field of foreign language education, where teaching cultural knowledge and 
linguistic proficiency is often emphasized. Since social justice issues sometimes cast a culture in a negative light, East 
Asian language classes have tended to treat the subject as taboo. However, as Japan and the world in general become 
increasingly diverse, we believe that including such topics in Asian language education is important for nurturing global 
citizens. Moreover, lessons dealing with social justice would provide students with opportunities to deepen their 
understanding of culture and society, the target culture's as well as their own. Current pedagogical research remains 
primarily focused on linguistic proficiency and cultural competency development. While some Japanese educators have 
proposed promoting critical thinking concerning stereotypes, ideologies, and inequality in gender and ethnicity in 
Japanese classes (Doerr and Kumagai 2014, Kubota 2003, McPherson 2012, Ohara, et.al, 1999, Sugimori 2015), many 
teachers may hesitate to introduce this area without proper training and pedagogical tools. Crookes (2009) suggests that 
more material development in this field would be helpful to teachers who are interested in creating social justice 
components to include in their classes. This panel will (1) present a discussion of why the social justice should be 
included in East Asian language education along with (2) a case study conducted to raise consciousness about 
stereotyping that utilized dialogues in a popular textbook for the elementary levels, and (3) explore ways teachers might 
be trained to incorporate social justice issues in Japanese language classrooms. 
"

54,Christopher A. Born,Competing Narratives of Victimhood and Aggression: The Enduring Effects of ,"The conclusion of the Pacific War witnessed the emergence of contradictory narratives that soon competed for ownership 
of Japan's official wartime memory. As ardent nationalism was replaced with pacifism and a global outlook, Japan's total 
military defeat was largely refigured into a narrative of victimhood. Simultaneously, the aggression of the past was 
purposefully downplayed. Indeed, how is it possible to be at once aggressor and victim? This interdisciplinary panel of 
international scholars highlights the contradictory complexities of wartime memories in postwar Japanese society, and 
how competing narratives continue to shape domestic and international politics. Using Sakae Tsuboi's novel Twenty-four 
Eyes (1952) as a lens, Shobichatul Aminah begins our discussion of the victim-aggressor dichotomy and calls attention to 
the bifurcated spirit of nationalism and pacifism that emerged after the war. Next, sociologist Masaya Nemoto 
problematizes the double-victim status of atom-bomb survivors, and how, despite their criticism of Japan's wartime 
actions, their narratives have been coopted by those in power for their own aims. Finally, political scientists Benjamin San 
Jose and Carmina Untalan examine how Kyo Machiko's recent manga, Attack of the Killer Strawberries,reveals the 
mechanisms employed in the legitimization of Japan's narrative of  victimhood that still interferes with international 
relations, while also calling attention to the dangers of war to a generation far removed from the horrors of the past.  
Marvin Marcus, a senior scholar of modern Japanese literature, will provide concluding remarks before opening the panel 
to audience participation. 
"

55,Sachiko Kawai,Staying Afloat: Creative Social Networking Practices in Medieval Japan ,"Kinship was a source of alliance and conflict throughout Japan's medieval times (c. 1050-1600). Expanding familial ties 
was a crucial strategy used to survive in this unstable era fraught with political and military struggles. This panel explores 
both biological and non-biological human networks developed by various social groups as a means for empowerment. 
These ties were complicated arrangements which often brought competing interests together. To encourage comparative 
perspectives, this panel offers substantial feedback from a China specialist on the three Japan focused papers and 
investigates kinship relations in a broader East Asian context. 

Sachiko Kawai argues that despite lacking their own military offices, early medieval royal women gained military power 
through the use of adoptions and human resources gathered from their landholdings. Through his case studies of thirteenth 
and fourteenth century warrior families, Kevin Gouge reveals that non-biological kin relations were as crucial as blood 
ties to sustain power. By investigating the survival strategies of warriors during the sixteenth and early seventeenth 
century civil war, David Spafford shows how the meaning of  elite was transformed and how changes in gender roles 
and marriage patterns shaped medieval power wielding mechanisms. 

Nick Tackett, a historian of medieval China and the panel discussant, provides comparative commentaries on the three 
papers in a wider East Asian context. Through this process, we hope to invite fresh questions and enliven the discussion 
session with the audience. 
"

56,Alexander Bukh,Conservative Activism in Post-War Japan ,"Conservative activism has been an important element of post-war Japan's politics. Nevertheless, the extent academic 
literature on social activism in Japan, generally tends to exclude movements that do not fall within the liberal conception 
of civil society from its scope of analysis. This inter-disciplinary panel seeks to partially address this lacuna by analyzing 
a number of important instances of conservative activism in the early post-war period. Masuda's paper re-examines 
postwar Japan's social conservative backlash as a  decolonization process, focusing on the role played by ordinary 
people as well as their everyday struggles and conflicts concerning  purity and  stability at home. Hofmann's paper 
focuses on post-1945 Japanese anticommunist activism. It argues that anticommunism offered Japanese conservatives a 
repertoire of strategies to shape the domestic and international order at a time when the country moved from empire to 
nation-state under American tutelage. Zwigenberg explores the Kokura castle liberation movement as a unique case of 
conservative, urban anti- base movement. It argues that castle building in general, and the Kokura movement in particular, 
was a part of a country wide conservative reaction to what was seen as the Japan's perceived loss of tradition during the 
occupation. Bukh's paper concludes the session by examining the grassroots activism related to Soviet and South Korea 
occupied territories. It argues that the two movements have shared a number of important similarities with other social 
movements in post-war Japan and their emergence can be contributed to the political and legal reforms enacted by the 
occupation authorities. 
"

57,William Bridges,"Anime Pedagogies: Students, Scholars, Fans, Creators ","There are  forms of educationalâ€_activity, Martha Nussbaum writes, for which  certain literary texts (or texts similar to 
these in certain relevant ways) are indispensable.  This panel is premised on Nussbaum's parenthetical: anime is certainly 
relevantâ€”perhaps even indispensableâ€”to the contemporary Asian Studies curriculum.  In the sixteen years since Susan 
Napier began her groundbreaking study with the question  why anime, classrooms throughout the English-speaking 
academy have responded: because anime brings to life the very best of humanistic study (expanding imaginative capacity, 
opening possible worlds, enhancing media literacy, etc). 

What is the pedagogical power of anime, and how might this pedagogical potential be best realized?  We assume that a 
focus on pedagogy is central to restoring public recognition of the value of the humanities, with  pedagogy defined 
broadly to include the role of anime in the Asian Studies curriculum as well as what anime texts, and their creative 
reception by students, teach us as scholars.  Bridges considers the devoured humans of Attack on Titan as a metaphor for 
the crises in the humanities/humanity.  Raine explores the complex (dis-)identifications that underpin the reception of 
some anime texts outside of Japan, and outside of Asian Studies.  Yoda discusses the ethical pedagogy of Mawaru 
Penguindrum, an anime that alludes to the urban attack perpetrated by millenarian cult Aum Shinriky.  Lamarre will 
discuss the pedagogical promise and peril of handling non-discrete objects.  In concert, the papers address what students 
and scholars of anime have to learn from this pedagogically-rich medium. 
"

58,Franziska Seraphim,TimeSpace in Japan's Long 20th Century: Approaches to the New Cambridge ,"The new Cambridge History of Japan takes up a range of thematic chapters that are new in historical and geographical 
scope for this genre. Contributors to the 20th-century volume share the challenge of conceptualizing their topics across the 
momentous political transformations from empire and war to postwar (global) integration up to the post-Fukushima 
present. What does Japan's historical experience look like if the usual state-centeredness is both sized up and broken 
down as part of wider global dynamics? This roundtable discussion is a crucial forum for contributors to compare their 
approaches and involve an audience of potential readers in establishing their metanarratives. 

Mark Metzler surveys INDUSTRIALIZATION as social and ecological process. The historic scaling up of material and 
energy flows within Japan transformed regional divisions of labor and widened Japan's ecological footprint. The 
developmental frontier Japan had already reached by the 1930s suggests a new reading of the great slowing of recent 
decades. 

Hiromi Mizuno examines AGRARIAN POPULATION's dynamic mobility (colonization, emigration, postwar land 
development), challenges the conventional chronology, and proposes a new narrative for Japanese industrialization and 
 development of the 20th century. 

Jordan Sand explores how the chronology of the CITY and of the nation-state overlap and diverge. The history of 
industrial-era cities may appear inseparable from the state when we focus on economic growth, yet urban culture and 
lifestyles before the 1970s distanced cities from the rest of the country. 

Vera Mackie considers state regulation of GENDER AND SEXUALITY through important historical turning points 
related to the acquisition of suffrage for men and women, the gradual removal of restrictions on women's political 
activity, and the changing regimes of the management of population and family forms. 

Franziska Seraphim understands SOCIAL MOVEMENTS as sustained public protest against perceived systemic 
inequities that manifested with respect to territory and place, capitalist relations, social inclusion and exclusion, and the 
norms associated with  modernity and later  globalization. 

Edward Lincoln, as moderator, will add his insights in how to situate the BUBBLE ERA (1987-1991), which marked a 
crucial transition from a century of rapid industrialization to one of a mature economy beset with a wholly new set of 
issues and problems. 
"

59,Jamyung Choi,Being Professional in Modern Japan ,"Even as their authority rested on claims to expertise in narrow fields, professionals in Japan used their position to shape 
society as a whole. By developing and consolidating professional privilege, and then transforming this privilege into 
broad social and cultural capital, university-educated Buddhist priests, white-collar engineers, and cosmopolitan lawyers 
placed themselves at the center of late-nineteenth and early-twentieth century Japanese social and political history.  

By examining such professional groups, this panel takes the study of Japanese professions in new directions. Montrose's 
work expands the study of professions to religious actors, who have been eclipsed in the studies of professions associated 
with science. She does so by tracing the professionalization of the Buddhist priesthood and its effect on the reshaping of 
Buddhism and the development of religious education for the modern era. Choi examines the professionalization of 
engineers as more than the social ascent of a historically scorned occupational group. He sees the professionalization of 
engineering as a multi-layered process involving both top engineers and manual workers and explores the construction of 
a collar line in this process. Flaherty charts new territory in the transnational dimension of professions by exploring how 
legal professionals negotiated Japanese, Asian, and putatively universal notions of law during the 1920s. While 
reconsidering underlying assumptions in the study of professions about the importance of science, merit, and privilege, the 
papers analyze professional change in imperial Japan through its local and global connections. 

 
"
