organizer,session-title,text
and reformulate the national spirit of Chinese people. However, to what extent can we read his works as an example that 
illuminates the study of world literature, which emphasizes the long-standing phenomenon of transcultural and 
translational practices? A hundred years have passed since Lu Xun published his A Madmans Diary (1918), arguably 
the first modern Chinese fiction that inspired the entire May Fourth generation and beyond. What does it mean to study 
and teach Lu Xun in the English-speaking world during the twenty-first century in which we are faced with an ever 
increasing demand for a dialogue between disciplines and fields of studies? In particular, how can Lu Xuns works shed 
light on the relation between world and national literatures, the connection between personal memory and national 
narrative, and the conversations between Sinophone studies and Chinese literature? These are the questions that this 
roundtable aims to explore. 

Christopher Lupke addresses the question of why teaching Lu Xun is essential to world literary studies and explores the 
possibility of teaching Lu Xun from an interdisciplinary perspective. Jon von Kowallis discusses the translations of Lu 
Xuns classical-style poetry in both Chinese and English-speaking contexts. Ping Zhu analyzes issues related to gender 
and colonial modernity in Lu Xuns works and reveals their pedagogical implications. Nick Admussen examines ways in 
which Lu Xuns Wild Grass can be taught by emphasizing the works aesthetic, psychological, and political implications. 
Carlos Yu-Kai Lin highlights the role of Lu Xun as a literary historian whose works exemplify how a modern, Western 
literary form is built into and fascinated by local materials. Alexa Alice Joubin will chair the roundtable and make closing 
remarks on the inseparability of the studies of world and national literatures. 
"

Joshua L. Freeman,"Minority Elites and the Early Maoist State: Cooperation, Accommodation and ","While the 1949 establishment of the Peoples Republic of China (PRC) has long been seen as the central dividing line in 
twentieth-century Chinese history, recent research has demonstrated important continuities in many spheres of life 
between Republican and Maoist China. These continuities were often especially notable in minority areas, where the 
Chinese Communist Party (CCP) typically had little presence before 1949, and was thus reliant on pre-revolutionary local 
elites for much of the 1950s. This panel will explore these crucial cooperative relationships referred to as the United 
Front between the CCP and indigenous elites in Chinese minority regions and borderlands. 

Scholars have rarely considered the United Front as more than cynical expediency. Yet, as Lyman Van Slyke noted, by 
1949 the United Front had developed from tactic to strategy to ideology. The United Front had become fundamental to 
the framework through which the CCP and minority communities understood and interacted with each other, as the party 
sought to inculcate Maoist ideology and local elites worked to retain their own influence. 

Ranging from Chinas southwestern borderlands to the Tibetan Plateau to the Muslim regions of the far northwest, 
members of this panel will outline the formation, functioning and significance of United Front alliances between the CCP 
and pre-revolutionary minority elites, and will examine how these partnerships ultimately disintegrated under the strain of 
Maoist radicalization. The panel will provide a fresh perspective on the establishment of Party rule in borderland regions 
and the integration of minority communities into the emerging structures of the PRC. 
"

Wayne Soon,"Winning Hearts, Minds, and Bodies in Communist China ","Scholars have examined the history of medicine and the body in Communist China by unpacking the relationship between 
Traditional Chinese Medicine and biomedicine as well as between diseases and society. This panel seeks to re-center the 
critical role that communist ideology played in persuading the Chinese people that a revolutionary China required new 
modes of healing, consumption, mobilization, and maintenance of the body. Although efforts at nurturing new behaviors 
were often disrupted by unexpected agents such as fortune tellers, Overseas Chinese, canteen operators, and medical 
personnel, their opposition was attenuated by the affective regime of Communism, which constrained their resistance 
toward new regimes of biopower. Through four case studies, this panel will show how communism necessitated a 
fundamental reorientation of the individual body to its surroundings. 

Mary Augusta Brazelton will examine how immunization became a significant site of conflict between the state and 
people over the implementation of government policies in the early PRC. Wayne Soon will investigate how the Overseas 
Chinese introduced a global and cosmopolitan form of biomedicine in wartime Yanan, challenging the nativist and 
nationalist rhetoric that colored existing understandings of medicine and society in the region. Emily Baum will show how 
the Communists sought to curb fortune-telling practices by replacing individual forms of spirituality with a Party-
sanctioned materialism. Seung-joon Lee will present on the history of food politics in the early PRC, revealing how the 
use of canteens in the Kuomintang period continued to haunt similar efforts at mobilizing nutritional standards by the 
Communists. 
"

Hedda  FlatÃ¸,Chinese Climate Change and Environment: Government and Citizen Reactions and ,"This panel looks at governmental and public reactions to climate change and pollution in China: To what extent do 
citizens wish their local government prioritizes environmental protection, and what factors influence such demand? Where 
does the public engagement for environmental protection come from? Compared to other priorities such as public goods 
provision, how strong is the public desire for environmental protection? What are provincial level governments doing to 
curb GHG emissions and tackle pollution? Which effects has the revised Environmental Protection Law (2015) which 
strengthens both administrative measures as well as citizen participation, had in provincial jurisdictions? While it is often 
reported that Chinese local governments environmental protection enforcement is poor, the situation of addressing 
climate change and curbing greenhouse gas (GHG) emissions is not equally dismal. What can explain GHG mitigation 
without the implementation gap? 

Current environmental reactions and interactions are shaping Chinese society and politics in ways we do not yet fully 
understand. In order to illuminate the mechanisms and dynamics that occur within this domain, this panel invites papers 
which systematically and empirically address aspects of environmental governance from the perspectives of those who 
govern, and of the affected population. 
"

Ching Kwan Lee,Hong Kong as a Postcolony: Twenty Years of Chinese Rule ,"Postcolonial Hong Kong is a world historic experiment on the co-existence between a liberal capitalist society and its 
authoritarian communist sovereign. The past two decades of Hong Kong- Mainland integration and contention have 
inspired popular fears of recolonization or internal colonization, by China, but also new passion and imagination 
among the younger generation and civil society activists about Hong Kongs political future. The 2014 Umbrella 
Movement, in which 1.2 million citizens participated in the 79-day occupy movement in downtown Hong Kong, was just 
the tip of an iceberg. This watershed event was both the culmination and the source of deep- seated institutional, political 
and economic conflicts and struggles involving different segments of Hong Kong society, the Hong Kong Government, 
and Beijings proxies in the territory. 

Taking stock of twenty years of momentous change, this panel analyzes Hong Kongs postcolonial transformation under 
Chinese rule in four key arenas: political economy, rule of law, migration, and cultural production. Together, the papers 
address these questions --  Do Chinas economic interests in Hong Kong conflict with its political imperatives of control? 
Why has rule of law become an intensely contested terrain in Hong Kong-Mainland relation, and with what 
consequences for Hong Kongs political economic future? How are Mainland Chinese migrants to Hong Kong racialized 
and ethnicized, spurring an anti-immigrant nativist movement? How has the Hong Kong film industry navigated its 
integration with the Chinese market, with what consequences for Hong Kongs cultural production and identity? 
"

Felix A. Boecking,Translating Classical Texts of Political Economy and International Law into Chinese ,"This panel adopts a dual, text-centred and biographical approach to the intellectual history of the introduction of concepts 
of Western political economy and international law into China. Importantly, it gives agency to translators. All of the 
translators considered were important scholars in their own right. All of them made important choices in their translation, 
and, through their translations, shaped the modern Chinese vocabulary. The panel engages with a series of questions 
most fundamentally, what is a translation? Is it a recreation of a text? How much linguistic innovation is a standard part of 
translation? Or, in other words, are these translations unusual? The panel also considers the biographical influences on 
translations, by asking how life stories affect translation projects. How does one translate texts about capitalist/early 
capitalist societies into a language which is based in a country which is not a capitalist society? What is the role of the 
translator? What are the particular challenges of translating a text into Chinese? Also, does the translation of a text change 
over time, and how does the environment for translating such texts change over time? What do the translations show 
about the translators understandings of political economy and, later, economics? Suns paper advances the study of 
translations of Wheatons Elements of International Law beyond the standard accounts of WAP Martins translation; 
Karls paper explores the feminist roots of the first Chinese translation of Das Kapital, and Boeckings paper shows how, 
even in 2001, Smith gave authority to debates aboute the role of prices. 
"

Benjamin  Bogin,The Second Buddha: New Perspectives on Padmasambhava ,"This panel concerns literary and artistic traditions surrounding the legendary eighth-century tantric master, 
Padmasambhava. This culture heros mythology began in Tibet and the eastern Himalayas, where he is conceived of as a 
second Buddha, in some ways more powerful or important than the historical Buddha. His importance to the cultural 
life of Asia is vast - whether measured by the geographic distance between sacred sites devoted to him in Tibet, 
Mongolia, China, Nepal, Bhutan, and India or by the hundreds of volumes of literature recounting his life and teachings.  

His portrayals in art date from at least the thirteenth century, shortly followed by his earliest literary description as the 
second Buddha.  At present, he is one of the most globally recognizable figures in Tibetan iconography. The 
participants in this panel focus on a diverse set of texts, images, narratives, histories and built structures related to 
Padmasambhava. Elena Pakhoutova investigates the purposes and functions of visual narratives about Padmasambhava in 
the Himalayas, which incorporate earlier elements of popular Buddhist narrative. Lewis Doney addresses the impact of 
the earliest Padmasambhava biography on the stratification of Inner Asian Buddhist societies. Daniel A. Hirshberg 
explains the manifestations of Padmasambhava in liturgy, hagiography and iconography within the context of Tibetan 
Buddhist tantric traditions. Benjamin Bogin explores the construction of temples representing Padmasambhavas palace in 
Tibet, Nepal, and the United States. Together, these papers offer insight into the cultural dynamics surrounding one of the 
most important and understudied figures in the history of Buddhist Asia. 
"

Christopher Rea,China Vice: Defining and Dealing with the Modern Criminal Element ,"This panel explores the concept and experience of criminality in modern China. It looks at how authorities have defined 
certain activities as criminal and prosecuted them, as well as how such activities have been experienced by community 
members and other local actors. Kidnappers, crooks, pornographers, and swindlers: papers examine four archetypical 
criminal types and why they mattered from the perspectives of state and society between the late Qing and the early Mao 
era. Quinn Javers shows why communities and officials resorted to or supported kidnapping in late Qing Sichuan; while 
proscribed by statute, this form of illegal justice had both material and didactic effects. Weiting Guo focuses on how 
villagers in Zhejiang participated in gambling, opium consumption, and violence, as well as in campaigns against such 
villainy. Yvon Wang examines to what extent so-called yellow, or pornographic, print material survived Mao era 
campaigns against it, highlighting significant continuities in how licentiousness was regulated across the 1949 divide. 
Christopher Rea shows how and why the Maoist party-state became obsessed with swindlers, imposters, and spies 
infiltrating the revolutionary ranks in the 1950s, going so far as to mobilize writers to churn out stories about con men. 
Each study draws on archival sources to reveal tensions between individual expediency (e.g., detaining a debtor), market 
demand (e.g., for opium or gambling), social stability (e.g., campaigns against frauds), and ideological imperatives (e.g., 
to ban licentious materials). Taken together, they reveal the contested and ever-shifting bounds of vice and criminality in 
modern China. 
"

Griet M. Vankeerberghen,Commoner Mobility in the Early Chinese Empires ,"This panel investigates, for Chinas late pre-imperial and early imperial period, the social, cultural, and geographical 
dimensions of commoner mobility.  Whereas the role of travel by high officials and generals in the constitution of the 
early empires is generally understood, other groups too should be considered.  Our panel has two interrelated scholarly 
aims.  First, it will shine the spotlight on the mobility of groups of commoners scribes, members of the lower orders, 
soldiers, conscripts, or merchants to try to determine to what extent their mobility was free or was restricted by 
government mandates and regulations, and to gage the impact of private and professional mobility on the lives of the 
commoners who were on the move.  Second, as a focused examination of a concrete, but complex, historical topic, the 
panel will make a case for the importance of integrating diverse source bases.  Excavated texts (including legal sources) 
are of crucial importance to understand a topic such as commoner mobility. However, they need to be weighted critically, 
and brought into dialogue with one another, with transmitted texts, and with the human landscape of early China.   This is 
a difficult and complex task, that requires reflection and cooperation among scholars. Each presentation will be short, and 
focused both on an aspect of commoner travel and a particular source base, so as to allow the kind of dialogue, among 
panelists and with the audience, we think is necessary to move the field of early Chinese history forward. 
"

Shana Ye,"Red Love and Love Red: Gendered, Sexualized and Affective Linkages of Socialist ","Accounts of Chinas social transformation often presume a rupture between socialism and postsocialism. This narrative 
simplifies complex power struggles between the state and the mass, erases revolutionary agency of socialism, and serves 
to justify the dominance of neoliberal ideology. To challenge this narrative, the panel explores dynamic relations between 
socialist history and postsocialist present through the lens of gender, sexuality and affect. 

Drawing from recent debate on the usage of FunÃ_, Xin Huang analyzes how historical legacy of Mao-era womens 
liberation, has contradictorily shaped current feminist movements in China. Tracing various attitudes towards womens 
menstruation leave in the 1950-60s and the present, Yiyu Tian views menstruation as an affective site where women 
utilize their body as creative strategies to negotiate with state power. Shana Ye explores the queer potential of 
reconstructing narrative of sexual violence into radical politics of resistance by providing a close reading of a memoir by a 
gay man who was prosecuted in the Cultural Revolution. Charlie Zhang brings the issue of affect and queerness to the 
transpacific level. Linking the ascendancy of Peter Le with queer entrepreneurial strategies used by Chinese (gay) men, he 
provides a new understanding of value creation and extraction in the age of transnational neoliberalism dependent on 
circulation driven by expectations, rather than production and consumption. Together, the papers search for a robust 
critical language to contest the Cold-War informed neoliberal construction of socialist China, and explore new 
possibilities of gendered agency from the past to shed light on todays struggle. 
"

Jeffrey R. Tharsen,Digital Methods for Traditional Chinese Literary Studies ,"Recent advances in the field of digital humanities applied to Chinese literary studies have led to the creation of new 
methodologies designed to exploit the full potential of digital source materials and computational technologies. The 
papers to be presented in this panel have been specifically selected to highlight four different digital sinological 
methodologies, each centered upon a new digital corpus developed by the presenter. Drawn from articles to be included in 
a forthcoming special edition of the Journal of Chinese Literature and Culture, this panel will demonstrate the benefits of 
a variety of computational methods in the analysis of premodern Chinese literary practices. Jeffrey Tharsens paper is 
centered upon comparative linguistic and phonorhetorical analyses and visualizations of parallel passages in the early 
Chinese works Zuozhuan and Guoyu. Evan Nicoll-Johnsons paper demonstrates how network analyses can provide a 
more in-depth picture of reading practices and the circulation of books and documents during the Northern and Southern 
Dynasties. Mariana Zorkinas paper is focused on a corpus-linguistics analysis of specific clichs and their use throughout 
Tang literature. Wang Zhaopeng will present his five-year statistical study of the geographical distribution and 
displacement of Tang-Song poets, based on text mining of commentaries and secondary sources. We are particularly 
grateful to Cai Zong-Qi, one of the worlds foremost experts in premodern Chinese literary analysis, and Liu Chao-Lin, 
one of sinologys most renowned digital humanists, for agreeing to serve as discussants for this panel. 
"

Victor Seow,"Of Reds and Experts: Socialist Science, Technology, and Medicine in Maoist China ","Recent scholarship in the history of Chinese science, technology, and medicine has rewritten the failure narrative that had 
previously characterized accounts of scientific endeavors in Maoist China. Rather than dismissing the period as being 
entirely inhospitable to the scientific enterprise, this work has demonstrated ways in which individuals from citizen 
masses to professional experts participated in the making of science under socialism. From grassroots medicine and fish 
farming to agricultural mechanization and coal mining, our panel showcases attempts by different circles of experts 
papered and otherwise to adopt and adapt science to the ideological, material, and environmental constraints of the 
socialist state. Gross explores how rural medicine emerged as distinct from professional and state-sponsored medicine, 
demonstrating that the spectrum of political positions within the Party was also reflected in on-the-ground medical 
practices. Jiang traces how aquaculture experts justified their research in genetic and embryological science otherwise 
classified as bourgeois by framing this work in Marxist terms, and laid the foundation for future successes in fish 
farming. Rogaski examines, through the case of Beidahuang, how socialist dreams of landscape transformation through 
technological inputs were thwarted by the treachery of terrain. And Seow looks at how the impulse to compete with 
capitalist countries in industrial output kept thermal efficiency low even as more and more coal was being extracted and 
consumed by the socialist machine. Together, these papers highlight the tensions between ideology and expertise, state 
and society, and visions and reality that underpinned the making of socialist science in the Peoples Republic. 
"

Liana Chen,"Connoisseur-Researchers, Musical Notations and the Shengping Shu Archive: ","The birth of modern studies of xiqu (Chinese song-drama) as a discipline occurred in a pivotal moment in early twentieth-
century China. The global competitions over collecting and interpreting theatre-related materials prompted Chinese 
researchers to reexamine the place of xiqu in the Chinese cultural tradition and among world civilizations. This panel 
examines how the emerging modern studies of xiqu were shaped by new interpretive methodologies, an expanding 
conception of study materials and the availability of previously unseen performance materials.  Panelists will investigate 
three distinct cases in which early Republican-era scholars and artists evaluated and used study materials as they 
established and expanded the studies of xiqu in new directions. 

Hsiao-Chun Wu examines the studies of Qi Rushan and other scholars to show how Chinese intellectuals emphasis on 
collecting as scientific method of humanistic research motivated drama scholars to explore a wider basis of research 
materials for knowledge production. Dongshin Chang explores how a shared common vision to promote kunqu 
domestically and globally motivated early Republican scholars and artists to revamp the system of musical notation. Liana 
Chen establishes the Shengping shu archive as the key element to early Republican scholars effort in documenting the 
artistic legacy of the Chinese imperial theatre. 

Professor Shana Brown of University of Hawaii at Manoa, an expert on modern Chinese intellectual history, will serve as 
the panel discussant. We suggest that specific methods of collecting and studying xiqu led to the creation of Chinese 
drama studies as a field of knowledge in the early Republican era. 
"

Fangyi Cheng,After Conquest Dynasties ,"Scholars usually consider the differences between conquest dynasties and native dynasties in Chinese history as 
diminishing through the process of Sinicization, or simply had been obliterated by the subsequent native dynasties. 
Following this perspective through the entire course of Chinese history, the reign of conquest dynasties could be 
considered as a detour, especially in terms of political history. This panel wants to debate this viewpoint by 
investigating the legacy of conquest dynasties through the lens of those native dynasties behind them. Sanping Chen first 
discusses the Xianbei legacy of assistant conquerors in the Tang Dynasty by comparing different conquest dynasties 
with an emphasis on the Xianbei regimes. With a focus on the context of rituals, Zhan Beibei then looks into an early 
Ming imperial marriage ritual case to analyze the underlying Mongol legacy in the Ming court. Francesca Fiaschetti 
investigates the dynastic succession during Yuan-Ming to discuss the practical aspects (such as military, economical) of 
Mongol legacy in the East Asia during Ming era. Fangyi Cheng closes the panel with a discussion on the evolution of 
Sinicization theory applied in different contexts by both Chinese and Western scholars in late 19th and 20th Centuries. By 
looking at dynastic alternations in terms of legacy rather than ""transition"", the panel demonstrates the significance of the 
conquest dynasties in Chinese history is often downplayed, and highlights elements of mutual influence between 
strategies of government in China and Inner Asia. It thus reviews the position of China in the broader context of Eurasian 
history. 
"

Enhua Zhang,Digital China: Decenter and Deconstruction ,"This panel examines the digitization in and of Chinese culture in the new millennium. It concerns but is not limited to the 
following issues: how do digital techniques transform the social reality and create new ways of representation? 
Particularly, how are various sectors of culture reshaped by the arrival and dissemination of digital technology? What role 
does digitization play in negotiating the form, content, politics, and ethics in different ramifications of culture? Song Shis 
paper investigates how digital media and communication technologies are used to empower Chinese NGOs. Andy 
Rodekohr considers how digital filmmaking and CGI-enhanced cinematic spectacles have transformed the imagination of 
the the masses in contemporary China. Enhua Zhang tackles the issues of digitization and dramatization, memory and 
anesthesia, private and public revolving around three recent films digital recreation of Tiananmen Square. Based on the 
India-born Indranis The Legend of Lady White Snake, Liang Luo presents the digitization of Chinese culture in the 
transnational context and questions the relationship between digital-ness and plasticity, subject-making and 
metamorphosis. As a whole, this panel demonstrates the multifaceted use of digital technology in the spectacular 
construction of film, memory, performances, and social change. The four papers also each engage with the concept of 
marginalization: queer mentality and intermedial experimentation in Luos paper, marginalized grassroots NGOs in 
Songs paper, the anachronistic notion of the masses in Andys paper, and, in Zhangs case, the the resonance of 
individual memory in the face of state-sanctioned mythmaking. 
"

Huiying Chen,Mobility and Materiality in Early Modern China ,"This panel examines the ways in which mobility has shaped the meanings assigned to objects and knowledge in early 
modern China. Mobility and materiality have been studied extensively on their own, but rarely together. Materials are 
connected to the meaning of place, but those meanings are destabilized by trade and travel; goods contain value and 
knowledge, but these are problematized by strategies for transport and government censorship. This panel shows how 
different kinds of mobility transformed materiality and meaning. Anne Gerritsen explores how mobility and transience 
shaped the material record of the ceramics trade town of Wuchengzhen. Huiying Chen discusses the commodification of 
local products in eighteenth-century China, asking how the movement of travelers followed and redefined the meaning for 
a local delicacy the Jinhua Ham. Following jade from Xinjiang to Beijing, Yulian Wu examines how its materiality 
shaped transport tools and methods and Qing strategies of labor mobilization. Xue Zhang elucidates how duplicates of 
Jesuit maps were transmitted, uncovering a longstanding struggle between the diffusion and concealment of knowledge in 
nineteenth-century China. In different ways, these papers show that the movement of goods, regardless of whether this 
occurs through trade, travel, government transport, or knowledge transmission has had a transformative impact on the 
meaning of those goods. At the same time, the various modes of mobility are shaped by the materiality of the goods. We 
seek to show, therefore, that the interaction of materiality and mobility plays a key role in meaning-making and identity 
formulation in early modern China. 
"

Petrus Liu,Postsocializing Queer Desires in China ,"Scholars of Chinese sexualities generally attribute the emergence of gay identities and communities in China to the end of 
socialism. However, the precise relation between Chinas sexual and economic liberalization remains unclear, especially 
since both postsocialism and gay identity remain controversial terms. While some critics challenge an unproblematic 
narrative of queer emancipation by exposing the neoliberal drive of pink economies as the true basis of contemporary 
LGBT visibility, others insist that the socialist legacy has been repurposed rather than abandoned by transnational 
capitalism. At the same time, newly available archives and oral histories of the Cultural Revolution produce a much more 
nuanced understanding of Chinas socialist regulations of bodies, pleasures, and sexual behavior than a simple 
repression/liberation model. This panel brings together divergent disciplinary methodologies (history, sociology, 
literature, and media studies) and clashing perspectives to build a dialogue around the relation between Chinas evolving 
political economy and sexual culture. 
"

Yue  Zhang,"Late Imperial Chinese Commentaries Across the Jing (classics), Shi (history), Zi ","Commentaries often expound on the meanings of words and passages, discuss styles and techniques, speculate authorial 
intentions, offer commentators evaluations, and thus influence readers interpretations of texts. Commentaries are thus 
crucial to our comprehension of the substance and significance of texts. In late imperial China, a huge number of 
commentaries appeared across four traditional bibliographical categories: jing (classics), shi (history), zi (master works), 
and ji (collected works). This panel elucidates late imperial Chinese commentaries in light of the following questions: 
what similarities and differences do commenting practices share in these four categories? How do commentaries shape the 
status of these works, and thus influence our understanding and reading of them? Pauli Tashima examines the jing section, 
explaining how pingdian contributed to canonical scholarship on the Zuo Tradition. Qin Fang explores the shi section, 
investigating the means by which poetic comments help construct and establish local history through a reading of the 
Haichang shenglan. Ji Hao explores the zi section, explicating the commentarial approaches that have led to various 
understandings of the nature of the novel Xi Youji. Lastly, Yue Zhang delves into the ji section, exploring Shen Deqians 
poetry anthology Gushi yuan by examining how Shens comments affect later readers understanding of literary style and 
status of Six Dynasties poets. The four papers place commentaries in larger historical and intellectual contexts, 
contributing to a better comprehension of the tradition of commentaries and their significance in influencing the meaning 
and status of the main texts. 
"

Nicolai Volland,Chinas Cosmopolitan Traditions ,"Modern Chinese literature has been intertwined with the world beyond Chinas borders in manifold ways. The 
cosmopolitan outlook of literary texts from the May Fourth period, the 1930s, and the 1980s, is generally acknowledged. 
Much less widely known are the efforts, of writers and readers alike, to engage the world during other periods, such as the 
War of Resistance Against Japan and the Cultural Revolution. Commitment to worldliness, however, was not restricted to 
isolated periods in Chinese literary history. Rather, its entanglement with global literary and cultural currents from the 
widest variety of sources is arguably one of the foundational features of modern Chinese literature. To probe this long 
tradition of interest in and commitment to literature and culture from abroad, this panel brings together papers that trace 
the cosmopolitan traditions of modern Chinese cultural production at some of its crucial junctions. Building on careful 
examinations of understudied texts and little known sources, the papers explore instances of worldliness such as Sino-
Soviet theatrical exchanges in the 1950s, the Chinese career of an epic French novel, the consumption of foreign films 
during the Cultural Revolution, and the reception of Beat Generation literature in the 1960s and 1970s. Modern Chinas 
engagement with world literature and culture, the papers demonstrate, has given rise to a rich body of cosmopolitan 
traditions outward looking in conviction but by no means monolithic or uniform that have made Chinese literature and 
culture a truly global enterprise. 
"

Donglai Shi,"Comparative Yellow Perilisms: Imagination, Reaction, and Continuation ","The rise of China in the 21st century has engendered a new wave of China Threat theory, which is often reminiscent of the 
Western discourse on the Yellow Peril popular in the early 20th century. In this context, studies on the ideology of Yellow 
Perilism have gained a renewed sense of political contingency. However, a careful examination of recent academic 
publications on the Yellow Peril reveals that the critique of Orientalism is still the dominant methodology used (Mel Chen 
2012, Ruth Mayer 2013, John Kuo Wei Tchen and Dylan Yeats 2013, Christopher Frayling 2014, Madeline Hsu 2017). 
To counter this ongoing postcolonial obsession with the West, this panel proposes a comparative turn to study the Yellow 
Peril discourse as a set of interconnected and transnational phenomena across the long 20th century. Wendy Gan and Amy 
Matthewsons papers on the intertwinements between Chinoiserie and war in fin de siÃ¨cle British literary and visual 
culture bring in a broader view to go beyond the established tropes of Asian invasion and racial contamination, while 
Tobias Metzler examines the Japanese and Chinese reactions to Western Yellow Perilisms through analyses of historical 
government documents. The session will end with Xiaojian Zhaos paper on anti-Chinese sentiments in Italy, and together 
with the discussant Flairs Donglai Shis comments on the adaptions of the yellow peril discourse in China, contemporary 
continuations and mutations of the racist discourse will be put into comparative perspectives with its precedents in 
international cultural history. 
"

Chialan Sharon Wang,Multifarious Modernities in the Cold War Sinophone Literature and Film from ,"During the Cold War, the 1949 divide brought about both divergent institutionalizations of national culture and 
corresponding counternarratives or subcultures in mainland China, Hong Kong, and Taiwan. While the diaspora of and 
communication among cultural agents within and outside these regions gave rise to heterogeneous national imaginaries, 
cultural activities, and socio-economic practices, the literary and film productions within these diverse loci envisioned 
different yet intertwined Chinese modernities. 

This panel aims to generate discussions on the way the Cold War Sinophone cultural productions throw up discrepant, 
antagonistic, sympathetic, or complicit ideological positions and cultural-economic relations across boundaries. Hsiu-
Chuang Deppman delves into the gender politics in Eileen Changs Little Reunion and thinks about how its generic 
indeterminacy allows the writer to contest social norms at both local and global levels. Chialan Sharon Wang investigates 
the ambivalent Taiwanese national consciousness and palimpsest meaning-making processes in Zhong Lihes and Zhong 
Zhaozhengs novels and their later film adaptations. Jessica Tsui-yan Li looks into Zhong Xiaoyangs novel, Stopping by 
the Roadside and its film adaptation, A Pinwheel Without Wind, to unpack the notion of colonial modernity and examine 
the way ideological binaries are challenged in the Cold War Hong Kong cultural arena. Also foregrounding the obscured 
ideological oppositions in the urban films of Cold War Hong Kong, Lawrence Zi-QiaoYang scrutinizes the emergence of 
corporeal plasticity and immaterial labor in conjunction with the development of modern infrastructure, media, and 
technology in both pro-Taipei and pro-Beijing film productions. 
"

H. Christoph Steinhardt,Peering Through the Fog of Censorship: Studying Protest and Repression in China ,"What do we know about protests in China? Surprisingly much and, at the same time, very little. We know a great deal 
about micro-dynamics why protests emerge, how they are coordinated, what makes their success or failure likely, and 
how the state defuses or represses them. We know little, however, about the big picture. What is the distribution of 
protests over space, time and contentious domains? How do state responses vary over issues, tactics and social contexts? 
How have protester behavior and repression evolved? 

In contrast to previous times, when demonstrations were almost completely blacked out from the Chinese public sphere, 
the Internet, social media and even the Chinese press have over recent years brought to light an unprecedented amount of 
information about contentious events that researchers can exploit to answer these questions. To initiate a discussion on 
this new body of evidence, this panel brings together junior and senior scholars from three continents who are working 
with media-based protest event data sets 

Chen Chih-jou (Academia Sinica) examines what kinds of threats are most prone to trigger state coercion, and how protest 
policing has evolved over time. Manfred Elfstrom (Harvard) compares government responses to workers protests across 
ownership type. Li Yao (Harvard) and Manfred Elfstrom (Harvard) examine the link between coercive capacity and 
coercive application. Finally, Christoph Steinhardt (CUHK) and Christian GÃ¶bel (Vienna) shed light on the biases and 
validity of media-based protest event data. Kevin OBrien (Berkeley) will provide comments. 
"

Ling  Kang,"Techniques of Speaking: Sonic Intermediality in Republican China, Taiwan, and the ","The sonic modernity of the twentieth century Sinosphere features an explosion of the techniques of speaking, listening, 
and silencing with which the operation of political propaganda, mass education, and cultural authority became effective 
and affective. Sitting in the intersection of sound studies, media archaeology, and history of technology, this panel 
interrogates the fundamental practice of speaking in the trans-medial environment of Republican China, colonial 
Taiwan, and the PRC. It seeks to understand how different techniques and technologies of speaking shaped the subject 
positions and collective identities of speakers, listeners, and readers. 

Starting with Republican China, Thorn Chens analysis of the multimedial lecture-screening identifies a shift of authority 
in the mass education from the speakers verbal diction to the global logistics of technical images. Laura Wen investigates 
the newspaper accounts of hassei eiga and their promotion of talkie screenings in colonial Taiwan, revealing the 
intricate relationship between modern media, technological cosmopolitanism, and colonial propaganda. Moving along, 
Ling Kang probes into the sonic technology in PRC films to de-fetishize the mass voice as a source of political and 
moral legitimacy in the socialist discourse. On the same vector, Yu Wangs paper traces the coming-into-being of the 
prototypical socialist voice manifested in the speaking manner of Chinese radio announcers in a Cold War context. 
Discussing lantern slides, newspaper, film, radio broadcasting, and human voice(s), this panel reconsiders the media and 
remediation of speaking on different structural and infrastructural levels such to historicize the heteroglossia of the 
modern Chinese soundscape and its cultural-political ramifications. 
"

Tim Pringle,Changing Labour - Advocacy and Workers Agency in China ,"The panel draws on a rich vein of existing labour studies in China hitherto chiefly focused on manufacturing in 
Guangdong. We include the province but breach the borders of the great southern silo in three places. First, the panel 
spans four different industries across three sectors.  Second, the geographical range of the research reaches from Chengdu 
(shoes) to Beijing and Shanghai (construction) and sanitation in Guangzhou. Third, the panel moves away from well-
researched state-society relations to the agency of workers themselves. The panel papers do not ignore the importance of 
recent significant legal and policy changes in state-(civil) society relations, but rather locate these developments in a 
dynamic and dialectical interaction with the the forces of labour to borrow from Beverly Silvers (2003) famous phrase. 
The big idea for this panel is that workers own actions lie at the heart of effective labour advocacy in whatever form. 
While far from original, the idea gains layers of complexity and tougher challenges in the context of well-known 
constraints on labour organising in China. 

The panellists hail from four universities in three countries with a gender balance favouring female participants. It is an 
interdisciplinary panel drawn from sociology, development studies and industrial relations and includes early career, 
established academics and a PhD candidate with an established publication record.  It is chaired by the Editor of China 
Quarterly. The discussant is a practitioner from an influential international labour rights advocacy organisation whose 
academic research focuses on labour in China. 
"

Zhan  Zhang,Life Along the Silk Road ,"This panel aims to challenge the image of the so-called Silk Road, which usually highlights trade, especially long-
distance trade, as its defining element. Such an oversimplification does not do justice to the complexities of local life. The 
Silk Road was not like a railway, where only the destinations and the cargo matter. Local affairs, we emphasize, were 
always peoples main concern, whereas the constant flow of goods, people, and ideas, often a byproduct of political 
turmoil, formed the backdrop of the societies along the Silk Road. 

